,"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
614,615,Guadalajara Easy Taxi,2016-09-20,2016-09-20,0.3296457766605,0.3921834242396551,-103.36892732,20.688104,N,1526,5883,4397
615,616,Quito,2016-09-20,2016-09-20,0.6746437615266021,0.55310209601903,-78.5396012891753,-0.254961992783499,N,478,3010,99
616,617,Quito,2016-09-20,2016-09-20,0.694837889113609,0.6695350755027321,-78.5376491404805,-0.28636052547768603,N,879,3434,320
617,618,México DF Taxi de Sitio,2016-09-20,2016-09-20,0.0749823767654565,0.332213096897331,-99.21801401101379,19.452136835997102,N,1483,5805,363
618,619,México DF Taxi de Sitio,2016-09-20,2016-09-20,0.036768044579012005,0.336866290748756,-99.1340392477195,19.415113208563604,N,3046,5080,57
619,620,México DF Radio Taxi,2016-09-20,2016-09-20,0.0772551144342788,0.291591882495188,-99.1794943810777,19.3700838061872,N,6772,12465,1393
620,621,México DF Taxi de Sitio,2016-09-20,2016-09-20,0.0714699640045491,0.33135072868327003,-99.1794618539371,19.438652790036603,N,1796,5235,200
621,622,Quito,2016-09-20,2016-09-20,0.53160501883625,0.228935040982921,-78.47799845269259,-0.14572188181823,N,5432,13202,163
622,623,Monterrey,2016-09-20,2016-09-20,0.1381429243919,0.6299668324428149,-100.270866528022,25.674473188121,N,1446,19319,7464
623,624,Monterrey,2016-09-20,2016-09-20,0.151752400946311,0.632652632097905,-100.20447411419902,25.708634573156,N,13180,3497,13520
624,625,México DF UberX,2016-09-20,2016-09-20,0.0444396571053927,0.32044535756512893,-99.1500640929888,19.4651678144456,N,5997,8522,5165
625,626,Quito,2016-09-20,2016-09-20,0.5815782980918189,0.0709129904241184,-78.48443168,-0.16912365999997597,N,908,6579,281
626,627,Monterrey,2016-09-20,2016-09-20,0.149668309487153,0.64297363517575,-100.184259,25.73424366,N,565,4345,74
627,628,Lima UberX,2016-09-20,2016-09-20,0.418614922399697,0.0707782432345153,-76.97862914,-12.15235234,N,523,3314,145
628,629,Lima UberX,2016-09-20,2016-09-20,0.418444242495714,0.0706884117745509,-76.97672472,-12.15216382,N,111,271,46
629,630,Lima UberX,2016-09-20,2016-09-20,0.41841729303719105,0.0706794286285545,-76.9768187702997,-12.15193472666,N,20,74,5
630,631,México DF Taxi Libre,2016-09-20,2016-09-20,0.11932321918959599,0.267705963773275,-99.283466050184,19.3267411335529,N,656,3311,119
631,632,Monterrey,2016-09-20,2016-09-20,0.151923080850293,0.586194395003343,-100.180962651223,25.635057217005603,N,251,4886,2757
632,633,Aguascalientes,2016-09-16,2016-09-20,0.275549230250822,0.514494181440266,-102.297305995735,21.941753984817602,N,360707,11366,623
633,634,Monterrey,2016-09-20,2016-09-20,0.144026889502883,0.56894761793161,-100.186652759211,25.639995604156898,N,121,1113,97
634,635,Monterrey,2016-09-20,2016-09-20,0.152857328745778,0.577993199725633,-100.224946280464,25.658516007234503,N,13,2081,1049
635,636,Monterrey,2016-09-20,2016-09-20,0.19165556586690002,0.588170584847129,-100.31225266,25.77773432,N,2207,29182,18756
636,637,Monterrey,2016-09-20,2016-09-21,0.15580380287769002,0.589023939336222,-100.26313592512,25.6732914681325,N,3125,5481,109
637,638,Monterrey,2016-09-21,2016-09-21,0.14229314100453197,0.5952579144700539,-100.080588532866,25.6546960620091,N,977,12557,101
638,639,Monterrey,2016-09-21,2016-09-21,0.15136612537413902,0.604492089448332,-100.256208196648,25.679914565788103,N,28,6176,6912
